S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
74,2022-02-03,2937,SBCF,Sunrise Bluechip Fund,9.0800,9.3900,9.0800,9.1800,22890,210891.7000,9.2400,11.2900,8.1800,2022-02-03T14:59:15.718763,9.1800,34,9.21,1147.50
75,2022-02-03,8026,NYADI,Nyadi Hydropower Limited,509.0000,530.2000,503.0000,530.0000,56373,29323342.0000,509.0000,545.0000,282.3000,2022-02-03T14:59:55.864549,530.0000,1690,520.16,7950.00
76,2022-02-03,154,CHCL,Chilime Hydropower Company Limited,539.5000,546.9000,527.0000,527.0000,37925,20384015.3000,534.0000,785.0000,462.0000,2022-02-03T14:59:56.639694,527.0000,295,537.48,35581.96
77,2022-02-03,178,NLICL,National Life Insurance Co. Ltd.,1148.0000,1148.0000,1115.0000,1115.0000,42862,48337928.7000,1130.0000,1411.0000,780.0000,2022-02-03T14:59:46.726987,1115.0000,367,1127.75,37808.42
78,2022-02-03,180,UIC,United Insurance Co. (Nepal) Ltd.,743.0000,743.0000,721.0000,728.0000,26747,19478570.0000,728.8000,890.0000,546.0000,2022-02-03T14:59:58.359578,728.0000,139,728.25,7485.00
79,2022-02-03,255,PRVU,Prabhu  Bank Limited,336.0000,339.9000,331.5000,333.0000,96481,32247252.1000,334.0000,525.0000,285.0000,2022-02-03T14:59:52.008691,333.0000,466,334.23,42319.98
80,2022-02-03,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,574.0000,610.0000,574.0000,593.0000,1384721,827035336.5000,563.0000,785.0000,237.0000,2022-02-03T14:59:59.853551,593.0000,5721,597.25,10256.50
81,2022-02-03,418,JBBL,Jyoti Bikas Bank Limited,458.0000,469.9000,444.0000,447.0000,102236,46569618.1000,454.0000,649.9000,215.0000,2022-02-03T14:59:59.840055,447.0000,695,455.51,19076.86
82,2022-02-03,686,BARUN,Barun Hydropower Co. Ltd.,575.0000,577.0000,555.0000,555.0000,42189,23936517.4000,565.0000,763.4000,215.0000,2022-02-03T14:59:47.082232,555.0000,320,567.36,1486.89
83,2022-02-03,2753,NEF,Nabil Equity Fund,10.9700,11.3300,10.9700,11.2000,120429,1357271.5500,11.0000,17.4900,9.8300,2022-02-03T14:59:21.654119,11.2000,31,11.27,1400.00
84,2022-02-03,2767,HPPL,Himalayan Power Partner Ltd.,530.0000,540.0000,517.0000,517.1000,82449,43589953.8000,520.0000,749.1000,283.0000,2022-02-03T14:59:57.635232,517.1000,341,528.68,5509.27
