Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACD,Bollinger Band Signal
2021-04-08,130.259995,131.729996,129.869995,130.690002,130.184662,925100,72.02120885784181,UP,Inbetween Bollingers Band
2021-04-09,131.460007,131.919998,130.729996,131.910004,131.399948,1552200,75.53492211381564,UP,Inbetween Bollingers Band
2021-04-12,131.440002,132.179993,130.839996,131.270004,130.762421,1166300,70.14363436338877,UP,Inbetween Bollingers Band
2021-04-13,131.600006,133.270004,131.470001,132.970001,132.455856,1593700,75.55137551461908,UP,Inbetween Bollingers Band
2021-04-14,133.100006,133.229996,130.960007,131.970001,131.459717,1499300,67.19848757816278,UP,Inbetween Bollingers Band
2021-04-15,132.0,133.940002,132.0,133.279999,132.764633,2121300,71.93976143067174,UP,Inbetween Bollingers Band
2021-04-16,134.050003,134.639999,133.160004,134.580002,134.059616,4495400,75.96247588046124,UP,Inbetween Bollingers Band
2021-04-19,134.380005,134.649994,133.070007,133.5,132.983795,1071600,66.69532976777182,UP,Inbetween Bollingers Band
2021-04-20,133.0,133.550003,131.820007,132.460007,131.94783,1261200,58.65614075434688,UP,Inbetween Bollingers Band
2021-04-21,132.880005,133.949997,132.020004,133.830002,133.312531,1173900,65.1179989425199,UP,Inbetween Bollingers Band
2021-04-22,134.029999,135.460007,133.830002,134.529999,134.009827,1732700,68.0909435999451,UP,Inbetween Bollingers Band
2021-04-23,134.570007,137.119995,134.5,136.679993,136.151505,1495200,75.55611069801826,UP,Inbetween Bollingers Band
2021-04-26,137.210007,137.830002,136.679993,137.339996,136.808945,1287400,77.44584549826806,UP,Inbetween Bollingers Band
2021-04-27,136.929993,137.440002,136.229996,136.479996,135.952271,1752900,69.30110982740815,UP,Inbetween Bollingers Band
2021-04-28,136.0,136.509995,134.710007,134.800003,134.278793,1603900,55.902460943947595,UP,Inbetween Bollingers Band
2021-04-29,135.410004,135.410004,133.539993,134.149994,133.631271,2135900,51.41508281323771,Down,Inbetween Bollingers Band
2021-04-30,133.899994,134.660004,133.149994,133.639999,133.123245,1514200,47.895926788546284,Down,Inbetween Bollingers Band
2021-05-03,134.289993,134.309998,132.610001,133.190002,132.675003,1032000,44.743457118840425,Down,Inbetween Bollingers Band
2021-05-04,132.119995,132.509995,130.350006,130.899994,130.393845,1752400,32.17128427542943,Down,Inbetween Bollingers Band
2021-05-05,132.089996,134.089996,131.25,133.369995,132.854294,1430600,49.889359768756016,Down,Inbetween Bollingers Band
2021-05-06,132.309998,132.600006,130.770004,132.399994,131.888046,1150400,44.55677538172597,Down,Inbetween Bollingers Band
2021-05-07,133.190002,134.820007,133.190002,133.899994,133.382248,1044200,53.519985129813506,Down,Inbetween Bollingers Band
2021-05-10,133.759995,133.929993,131.759995,131.869995,131.360092,1034300,42.63688392020255,Down,Inbetween Bollingers Band
2021-05-11,130.270004,131.839996,129.300003,131.419998,130.911835,1336600,40.506673630196396,Down,Inbetween Bollingers Band
2021-05-12,130.339996,131.169998,128.470001,128.639999,128.142578,1256400,29.78218578901692,Down,Below Lower band
2021-05-13,129.610001,130.759995,129.259995,130.020004,129.517273,805900,39.11756333420285,Down,Inbetween Bollingers Band
2021-05-14,130.470001,131.690002,130.449997,131.149994,130.642883,775100,45.97844656768055,Down,Inbetween Bollingers Band
2021-05-17,130.839996,131.050003,129.910004,130.110001,129.606903,886700,41.01543239996464,Down,Inbetween Bollingers Band
